epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,608.639,0.84938,1.49193,2.81418,1.4575,0.03432,0.40249,0.0244,0.00781,0.01219,0.06863,0.00169,0.00052,2.61347,12.5521,6.80302,2.9473,0.000661247,0.000661247,0.000661247
2,1083.33,0.87173,1.15553,1.02829,1.46631,0.0995,0.4902,0.09489,0.05079,0.10273,0.5,0.09484,0.05604,1.61733,2.54222,15.4837,2.66766,0.00130162,0.00130162,0.00130162
3,1543.41,0.81011,1.1221,0.88932,1.43012,0.19013,0.15686,0.09876,0.06453,0.1886,0.15686,0.09449,0.06796,2.4963,3.42806,9.28435,2.87722,0.00191559,0.00191559,0.00191559
4,1944.74,0.75255,1.01638,0.829,1.37438,0.14434,0.69608,0.15509,0.10113,0.15247,0.73529,0.18485,0.13896,1.28513,1.29469,5.56126,2.1683,0.0018812,0.0018812,0.0018812
5,2388.19,0.73661,0.96855,0.82572,1.35932,0.17935,0.89216,0.19779,0.14096,0.17935,0.89216,0.19779,0.13306,1.12216,1.80562,5.02813,1.8951,0.0018416,0.0018416,0.0018416
6,2831.03,0.70193,0.94906,0.74725,1.32895,0.19374,0.73529,0.20801,0.1529,0.19273,0.73529,0.20813,0.17383,1.06256,0.76923,4.05817,1.8136,0.001802,0.001802,0.001802
7,3293.43,0.66194,0.89998,0.73661,1.2984,0.201,0.96078,0.21276,0.16659,0.201,0.96078,0.21276,0.17689,0.83944,0.89642,3.92942,1.57629,0.0017624,0.0017624,0.0017624
8,3717.46,0.66248,0.90033,0.7355,1.2809,0.19632,0.98039,0.22526,0.17177,0.19532,0.96078,0.22591,0.18395,0.88453,0.77057,4.5757,1.49497,0.0017228,0.0017228,0.0017228
9,4108.9,0.6067,0.84033,0.67652,1.23692,0.20775,0.98039,0.21125,0.17483,0.20775,0.98039,0.21125,0.18653,0.72381,0.60144,3.59428,1.27977,0.0016832,0.0016832,0.0016832
10,4582.45,0.5824,0.84549,0.67528,1.22142,0.20408,1,0.22222,0.18541,0.20408,1,0.22222,0.19494,0.61303,0.68556,4.34895,1.16817,0.0016436,0.0016436,0.0016436
11,5036.12,0.56922,0.77894,0.66002,1.20309,0.21274,0.96078,0.21811,0.1794,0.21274,0.96078,0.21811,0.19047,0.71097,0.56886,3.67205,1.28374,0.001604,0.001604,0.001604
12,5454.47,0.55838,0.75852,0.64684,1.19642,0.18415,0.93137,0.20068,0.16517,0.18415,0.93137,0.20068,0.17143,0.74887,0.71257,4.69442,1.28829,0.0015644,0.0015644,0.0015644
13,5912.24,0.5408,0.74352,0.6318,1.18084,0.20561,0.9902,0.21549,0.18141,0.20561,0.9902,0.21549,0.19213,0.67854,0.52452,3.68514,1.31303,0.0015248,0.0015248,0.0015248
14,6384.12,0.52691,0.71709,0.62451,1.16652,0.20836,1,0.21611,0.18412,0.20836,1,0.21611,0.19524,0.65068,0.60371,3.78594,1.21823,0.0014852,0.0014852,0.0014852
15,6785.28,0.52987,0.71932,0.61884,1.1655,0.21276,0.90196,0.21816,0.18052,0.21276,0.90196,0.21816,0.19428,0.69812,0.47227,3.35681,1.29674,0.0014456,0.0014456,0.0014456
16,7210.38,0.51943,0.71884,0.61233,1.15467,0.20439,0.9902,0.21306,0.18269,0.20439,0.9902,0.21306,0.19168,0.67797,0.71088,4.14837,1.30291,0.001406,0.001406,0.001406
17,7623.44,0.52322,0.70862,0.60635,1.15703,0.19463,0.94118,0.20227,0.16276,0.19463,0.94118,0.20227,0.17545,0.76057,0.53176,4.28484,1.29739,0.0013664,0.0013664,0.0013664
